"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL2179763";"";"None";"400.52";"0";"4.53";"18";"CC(C)c1ccc(C(NC(=O)Cc2ccccc2)NC(=O)Cc2ccccc2)cc1";"EC50";"'='";"4.11";"nM";"8.39";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2182816";"Inverse agonist activity at human CB2 receptor expressed in CHO cells assessed as increase in forskolin-induced cAMP accumulation incubated for 45 mins by TR-FRET method based LANCE cAMP assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177038";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3308072";"";"";""
"CHEMBL3353436";"";"None";"359.45";"0";"3.45";"14";"CC1CCC(NC(=O)c2cc3cccnc3n(CCCCF)c2=O)CC1";"EC50";"'='";"21.8";"nM";"7.66";"";"";"UO_0000065";"21.31";"0.40";"4.21";"11.97";"0";"CHEMBL3383062";"Agonist activity at human recombinant CB2R expressed in U2OS cells assessed as beta-arrestin-GFP binding to receptor after 25 mins by fluorescent microscopy";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U2OS";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352718";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307757";"";"";""
"CHEMBL1644668";"";"None";"429.49";"1";"5.65";"13";"CC(C)n1cc(-c2cccc(C(F)(F)F)c2)nc1-c1cccc(CN2CCOCC2)c1";"EC50";"'='";"218.0";"nM";"6.66";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1648855";"Agonist activity at human cloned CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP accumulation";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641542";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1644681";"";"None";"399.46";"1";"5.99";"25";"CC1CCCN(Cc2cccc(-c3nc(-c4cccc(C(F)(F)F)c4)c[nH]3)c2)C1";"EC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1648855";"Agonist activity at human cloned CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP accumulation";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641542";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1644691";"";"None";"404.32";"1";"5.98";"40";"FC1CCN(Cc2cccc(-c3nc(-c4cccc(Cl)c4Cl)c[nH]3)c2)CC1";"EC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1648855";"Agonist activity at human cloned CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP accumulation";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641542";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1644740";"";"None";"386.33";"1";"6.04";"33";"Clc1cccc(-c2c[nH]c(-c3cccc(CN4CCCCC4)c3)n2)c1Cl";"EC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1648855";"Agonist activity at human cloned CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP accumulation";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641542";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL3357373";"";"None";"389.57";"0";"3.37";"21";"CN1CC(CS(=O)(=O)c2ccc3c(c2)nc(CC(C)(C)C)n3CC2CC2)C1";"EC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3373668";"Agonist activity at human CB2 receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP production";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352700";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"CHEMBL3308072";"";"";""
"CHEMBL2218896";"NABILONE";"4.0";"372.55";"1";"6.26";"2";"CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21";"EC50";"'='";"15.85";"nM";"7.80";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1832982";"Agonist activity at human CB2 receptor expressed in CHO cells assessed as increase of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828497";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1828806";"";"None";"356.47";"1";"6.24";"18";"CCCCCn1cc(C(=O)Nc2ccc3ccccc3c2)c2ccccc21";"EC50";"'='";"5011.87";"nM";"5.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1832982";"Agonist activity at human CB2 receptor expressed in CHO cells assessed as increase of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828497";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1717635";"";"None";"438.57";"0";"3.29";"SID87544634";"CCCc1cc(C(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2OC)sc1C";"EC50";"'>'";"32000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1738165";"PUBCHEM_BIOASSAY: SAR analysis of agonists of the Cannabinoid Receptor 2 using an Image-Based Assay - Set 2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1961, AID1965]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";""
